Place		Full Place Search	Yahoo LatLong	Google LatLong	Verified LatLong		Image URL						
Passy	, Paris, France	Passy, Paris, France			 			 	2	 	 	 	2
Passy, barrière de	, Paris, France	Passy, barrière de, Paris, France	48.85608, 2.28286		 			 	2	 	 	 	2
Payée, rue	, Paris, France	Payée, rue, Paris, France			 			 	4, 7	 	 	 	4, 7
Payenne, rue	, Paris, France	Payenne, rue, Paris, France			 			 	4, 7	 	 	 	4, 7
Pelerins, rue des	, Paris, France	Pelerins, rue des, Paris, France	48.85772, 2.362095		 			 	4	 	 	 	4
Pelican, rue du	, Paris, France	Pelican, rue du, Paris, France			 			 	8	 	 	 	8
Penthievre, Grande-Rue-Verte-de	, Paris, France	Penthievre, Grande-Rue-Verte-de, Paris, France			 			 	8	 	 	 	8
Pepinière, rue de Ia	, Paris, France	Pepinière, rue de Ia, Paris, France	48.852615, 2.36235		 			 	2	 	 	 	2
Pere Lachaise	, Paris, France	Pere Lachaise, Paris, France	49.96593, 3.970635		 			 	2, 10	 	 	 	2, 10
Perle, rue de la	, Paris, France	Perle, rue de la, Paris, France	48.85989, 2.389		 			 	7	 	 	 	7
Perron	, Paris, France	Perron, Paris, France	48.855315, 2.330265		 			 	 8, 14	 	 	 	 8, 14
Perronnet, pavillon de	, Paris, France	Perronnet, pavillon de, Paris, France	45.315758, 7.039426		 			 	8	 	 	 	8
Pet-an-Diable, rue du	, Paris, France	Pet-an-Diable, rue du, Paris, France	50.09643, 2.85933		 			 	4	 	 	 	4
Petit-B anquier, rue du	, Paris, France	Petit-B anquier, rue du, Paris, France			 			 	3, 4	 	 	 	3, 4
Petit-Bourbon	, Paris, France	Petit-Bourbon, Paris, France	50.09643, 2.85933		 			 	13	 	 	 	13
Petit-Bourbon., rue du	, Paris, France	Petit-Bourbon., rue du, Paris, France			 			 	8	 	 	 	8
Petit-Bourbon-Saint-Sulpice, rue du	, Paris, France	Petit-Bourbon-Saint-Sulpice, rue du, Paris, France	50.09643, 2.85933		 			 	6	 	 	 	6
Petit-Carreau, rue du	, Paris, France	Petit-Carreau, rue du, Paris, France	50.09643, 2.85933		 			 	4	 	 	 	4
"""Petit-Chateau"","" le"""	, Paris, France	"""Petit-Chateau"","" le"", Paris, France"			 			 	10	 	 	 	10
Petit-Chetelet, le	, Paris, France	Petit-Chetelet, le, Paris, France	48.852615, 2.36235		 			 	6	 	 	 	6
Petit-Chatelet, place du	, Paris, France	Petit-Chatelet, place du, Paris, France			 			 	6	 	 	 	6
Petit-fleulen (Heurleur), rue du	, Paris, France	Petit-fleulen (Heurleur), rue du, Paris, France			 			 	4	 	 	 	4
Petit-Lion, rue du	, Paris, France	Petit-Lion, rue du, Paris, France	50.09643, 2.85933		 			 	 4, 6	 	 	 	 4, 6
Petit-Muse, rue du	, Paris, France	Petit-Muse, rue du, Paris, France	50.09643, 2.85933		 			 	4, 7	 	 	 	4, 7
Petit-Pont	, Paris, France	Petit-Pont, Paris, France	50.09643, 2.85933		 			 	11	 	 	 	11
Petit-Reposoir, rue du	, Paris, France	Petit-Reposoir, rue du, Paris, France	48.853325, 2.346963		 			 	4	 	 	 	4
Petit-Rocher-de-CancaIe	, Paris, France	Petit-Rocher-de-CancaIe, Paris, France	50.09643, 2.85933		 			 	12	 	 	 	12
Petite Pologne, la	, Paris, France	Petite Pologne, la, Paris, France	48.852615, 2.36235		 			 	2, 3, 8	 	 	 	2, 3, 8
Petite-Pologne, rue de la	, Paris, France	Petite-Pologne, rue de la, Paris, France			 			 	2	 	 	 	2
Petite Provence, la	, Paris, France	Petite Provence, la, Paris, France	49.96593, 3.970635		 			 	8	 	 	 	8
Petite-Rue-Sainte-Anne	, Paris, France	Petite-Rue-Sainte-Anne, Paris, France			 			 	11	 	 	 	11
Petites-Messageries	, Paris, France	Petites-Messageries, Paris, France			 			 	12	 	 	 	12
Petits-Augustins, rue des	, Paris, France	Petits-Augustins, rue des, Paris, France	48.86801, 2.335915		 			 	4	 	 	 	4
Petits-Augustins, rue des, (Bonaparte)	, Paris, France	Petits-Augustins, rue des, (Bonaparte), Paris, France	44.719885, -0.023449		 			 	10	 	 	 	10
Petits-Hotels, rue des	, Paris, France	Petits-Hotels, rue des, Paris, France	44.719885, -0.023449		 			 	5	 	 	 	5
Phulippe-Auguste, wail	, Paris, France	Phulippe-Auguste, wail, Paris, France	44.719885, -0.023449		 			 	1	 	 	 	1
Picardie, hotel de	, Paris, France	Picardie, hotel de, Paris, France			 			 	12	 	 	 	12
Pierre-Gasselin, rue	, Paris, France	Pierre-Gasselin, rue, Paris, France	48.854655, 2.392015		 			 	4	 	 	 	4
Pigalle, rue	, Paris, France	Pigalle, rue, Paris, France			 			 	5	 	 	 	5
Pinon, rue	, Paris, France	Pinon, rue, Paris, France	48.882245, 2.33768		 			 	9	 	 	 	9
Pinson	, Paris, France	Pinson, Paris, France			 			 	12	 	 	 	12
Plaisir	, Paris, France	Plaisir, Paris, France			 			 	12	 	 	 	12
Planche, rue de la	, Paris, France	Planche, rue de la, Paris, France	45.315758, 7.039426		 			 	10	 	 	 	10
Plantes, Jardin des	, Paris, France	Plantes, Jardin des, Paris, France			 			 	3, 11, 12	 	 	 	3, 11, 12
Pluinet, rue, (Oudinot)	, Paris, France	Pluinet, rue, (Oudinot), Paris, France			 			 	10	 	 	 	10
Pointe-Saint-Eustache, place de Ia	, Paris, France	Pointe-Saint-Eustache, place de Ia, Paris, France			 			 	4	 	 	 	4
Poirées, Marche aux	, Paris, France	Poirées, Marche aux, Paris, France			 			 	4	 	 	 	4
Poissonnière, boulevard	, Paris, France	Poissonnière, boulevard, Paris, France	48.8829, 2.349685		 			 	12	 	 	 	12
Poissonnière, faubourg	, Paris, France	Poissonnière, faubourg, Paris, France	48.8829, 2.349685		 			 	9	 	 	 	9
Poissonnière, rue	, Paris, France	Poissonnière, rue, Paris, France	48.885495, 2.35139		 			 	9	 	 	 	9
Poissonnière, rue du Faubourg-	, Paris, France	Poissonnière, rue du Faubourg-, Paris, France	48.852615, 2.36235		 			 	9	 	 	 	9
Poissy, prison	, Paris, France	Poissy, prison, Paris, France	48.877146, 2.287671		 			 	1	 	 	 	1
Poissy, rue de	, Paris, France	Poissy, rue de, Paris, France			 			 	3	 	 	 	3
Police Generale, Ministere de Ia	, Paris, France	Police Generale, Ministere de Ia, Paris, France	48.852615, 2.36235		 			 	11	 	 	 	11
Polytechnique, Ecole	, Paris, France	Polytechnique, Ecole, Paris, France	48.863754, 2.345434		 			 	3	 	 	 	3
Pompe, rue de Ia	, Paris, France	Pompe, rue de Ia, Paris, France	48.847708, 2.34776		 			 	2	 	 	 	2
Pont-au-Change	, Paris, France	Pont-au-Change, Paris, France	49.96593, 3.970635		 			 	11	 	 	 	11
Pont-aux-Choux, la	, Paris, France	Pont-aux-Choux, la, Paris, France	48.856245, 2.34651		 			 	7	 	 	 	7
Pont-aux-Choux, boulevard'du	, Paris, France	Pont-aux-Choux, boulevard'du, Paris, France			 			 	12	 	 	 	12
Pont-Neuf	, Paris, France	Pont-Neuf, Paris, France			 			 	6, 7, 11, 12	 	 	 	6, 7, 11, 12
Porte-Saint-Martin, theatre de Ia 	, Paris, France	Porte-Saint-Martin, theatre de Ia , Paris, France	48.8571, 2.34135		 			 	13	 	 	 	13
Postes, rue des	, Paris, France	Postes, rue des, Paris, France			 			 	3	 	 	 	3
Pot-de-Fer, rue du	, Paris, France	Pot-de-Fer, rue du, Paris, France			 			 	6	 	 	 	6
Poterie, rue de Ia	, Paris, France	Poterie, rue de Ia, Paris, France	49.96593, 3.970635		 			 	4	 	 	 	4
Poules, rue des	, Paris, France	Poules, rue des, Paris, France			 			 	3	 	 	 	3
Poulies, rue des	, Paris, France	Poulies, rue des, Paris, France			 			 	8	 	 	 	8
Prado	, Paris, France	Prado, Paris, France	48.870071, 2.353875		 			 	12	 	 	 	12
Pre-aux-Clercs	, Paris, France	Pre-aux-Clercs, Paris, France	48.869186, 2.355331		 			 	6, 10	 	 	 	6, 10
Preau	, Paris, France	Preau, Paris, France	48.877686, 2.382625		 			 	11	 	 	 	11
Prefecture de Police	, Paris, France	Prefecture de Police, Paris, France	48.856155, 2.33007		 			 	11	 	 	 	11
Pretres (de Saint-Germain-I’Auxerrois), rue des	, Paris, France	Pretres (de Saint-Germain-I’Auxerrois), rue des, Paris, France			 			 	4	 	 	 	4
Prevot, Mme	, Paris, France	Prevot, Mme, Paris, France			 			 	12	 	 	 	12
Princes, hotel des	, Paris, France	Princes, hotel des, Paris, France			 			 	12	 	 	 	12
Projetée, rue	, Paris, France	Projetée, rue, Paris, France			 			 	2	 	 	 	2
Provence, rue de	, Paris, France	Provence, rue de, Paris, France			 			 	9	 	 	 	9
Quatre-FiIs, rue des	, Paris, France	Quatre-FiIs, rue des, Paris, France			 			 	4	 	 	 	4
Quatre-Vents, rue des	, Paris, France	Quatre-Vents, rue des, Paris, France	44.719885, -0.023449		 			 	6	 	 	 	6
Quenouilles, rue des	, Paris, France	Quenouilles, rue des, Paris, France	44.719885, -0.023449		 			 	4	 	 	 	4
Quincampoix, rue	, Paris, France	Quincampoix, rue, Paris, France			 			 	4	 	 	 	4
Quinze-Vingts, les	, Paris, France	Quinze-Vingts, les, Paris, France	48.86281, 2.351395		 			 	2	 	 	 	2
Rambouillet, hotel de	, Paris, France	Rambouillet, hotel de, Paris, France			 			 	8	 	 	 	8
Ranelagh, le	, Paris, France	Ranelagh, le, Paris, France			 			 	2	 	 	 	2
Ranelagh, route du	, Paris, France	Ranelagh, route du, Paris, France	48.858415, 2.269475		 			 	2	 	 	 	2
Regnault-de-Saint-Jean-d'Angely place, (Pere Lachaise)	, Paris, France	Regnault-de-Saint-Jean-d'Angely place, (Pere Lachaise), Paris, France			 			 	2	 	 	 	2
Reine des Fleurs, A la	, Paris, France	Reine des Fleurs, A la, Paris, France	47.612207, -2.120567		 			 	12	 	 	 	12
Relations Exterieures, Hotel des	, Paris, France	Relations Exterieures, Hotel des, Paris, France	44.719885, -0.023449		 			 	10	 	 	 	10
Renaissance, theatre de la	, Paris, France	Renaissance, theatre de la, Paris, France	45.315758, 7.039426		 			 	13	 	 	 	13
Reuilly, rue de	, Paris, France	Reuilly, rue de, Paris, France	48.840925, 2.39258		 			 	2	 	 	 	2
Rhin, hotel du	, Paris, France	Rhin, hotel du, Paris, France			 			 	12	 	 	 	12
Riche, Cafe	, Paris, France	Riche, Cafe, Paris, France			 			 	12	 	 	 	12
Richelieu, rue de	, Paris, France	Richelieu, rue de, Paris, France			 			 	 8, 9, 12, 13, 14	 	 	 	 8, 9, 12, 13, 14
Richer, rue	, Paris, France	Richer, rue, Paris, France			 			 	9	 	 	 	9
Riesener	, Paris, France	Riesener, Paris, France	48.852615, 2.36235		 			 	12	 	 	 	12
Rivoli, rue de	, Paris, France	Rivoli, rue de, Paris, France	48.842955, 2.389355		 			 	 8, 9, 12, 14	 	 	 	 8, 9, 12, 14
Robert	, Paris, France	Robert, Paris, France			 			 	12	 	 	 	12
Rocher, rue du	, Paris, France	Rocher, rue du, Paris, France			 			 	2	 	 	 	2
Rocher de Cancale	, Paris, France	Rocher de Cancale, Paris, France	48.895325, 2.338795		 			 	 4, 12	 	 	 	 4, 12
Rohan, rue de	, Paris, France	Rohan, rue de, Paris, France			 			 	12	 	 	 	12
Roi-Dore, rue du	, Paris, France	Roi-Dore, rue du, Paris, France			 			 	7	 	 	 	7
Roland	, Paris, France	Roland, Paris, France	48.868025, 2.40836		 			 	12	 	 	 	12
Romainville, bois de	, Paris, France	Romainville, bois de, Paris, France	50.09643, 2.85933		 			 	2	 	 	 	2
Rossini, rue	, Paris, France	Rossini, rue, Paris, France			 			 	9	 	 	 	9
Rothschild, hotel	, Paris, France	Rothschild, hotel, Paris, France	48.873315, 2.33824		 			 	9	 	 	 	9
Rotonde, Cafe de Ia	, Paris, France	Rotonde, Cafe de Ia, Paris, France			 			 	12	 	 	 	12
Roule, faubourg du	, Paris, France	Roule, faubourg du, Paris, France			 			 	8	 	 	 	8
Roule, rue du	, Paris, France	Roule, rue du, Paris, France	48.871835, 2.37631		 			 	8	 	 	 	8
Roule, rue du Faubourg-du	, Paris, France	Roule, rue du Faubourg-du, Paris, France			 			 	8	 	 	 	8
Royal, Pont	, Paris, France	Royal, Pont, Paris, France	43.870995, 4.586955		 			 	11	 	 	 	11
Royale, place	, Paris, France	Royale, place, Paris, France			 			 	7	 	 	 	7
Royale, rue	, Paris, France	Royale, rue, Paris, France			 			 	8	 	 	 	8
Sablons, plaine des	, Paris, France	Sablons, plaine des, Paris, France	48.850854, 2.380223		 			 	2	 	 	 	2
Saint-Andr&desArts, rue	, Paris, France	Saint-Andr&desArts, rue, Paris, France			 			 	6	 	 	 	6
Saint-Antoine, boulevard	, Paris, France	Saint-Antoine, boulevard, Paris, France	-1.668, 10.9529		 			 	12	 	 	 	12
Saint-Antoine, faubourg	, Paris, France	Saint-Antoine, faubourg, Paris, France	48.855312, 2.359869		 			 	4	 	 	 	4
Saint-Antoine, porte	, Paris, France	Saint-Antoine, porte, Paris, France	48.855312, 2.359869		 			 	4	 	 	 	4
Saint-Antoine, rue	, Paris, France	Saint-Antoine, rue, Paris, France	48.855312, 2.359869		 			 	4, 7, 12	 	 	 	4, 7, 12
Saint-Antoine, rue du Faubourg-	, Paris, France	Saint-Antoine, rue du Faubourg-, Paris, France	48.855312, 2.359869		 			 	2, 12	 	 	 	2, 12
Saint-Augustin, rue	, Paris, France	Saint-Augustin, rue, Paris, France	48.855312, 2.359869		 			 	9	 	 	 	9
Saint-Bernard, quai	, Paris, France	Saint-Bernard, quai, Paris, France	48.852615, 2.36235		 			 	3	 	 	 	3
Saint-Chamnont, butte de	, Paris, France	Saint-Chamnont, butte de, Paris, France	48.853111, 2.380749		 			 	2	 	 	 	2
Saint-Honoré, rue	, Paris, France	Saint-Honoré, rue, Paris, France	48.852615, 2.36235		 			 	4, 8, 12, 13	31	 	 	4, 8, 12, 13
Saint-Honoré, rue du Fauhourg-	, Paris, France	Saint-Honoré, rue du Fauhourg-, Paris, France	48.861385, 2.342854		 			 	8	 	 	 	8
Saint-Hyacinthe, rue	, Paris, France	Saint-Hyacinthe, rue, Paris, France	48.861385, 2.342854		 			 	6	 	 	 	6
Saint-Jacques, faubourg	, Paris, France	Saint-Jacques, faubourg, Paris, France	48.866024, 2.331675		 			 	1	 	 	 	1
Saint-Jacques, quarter	, Paris, France	Saint-Jacques, quarter, Paris, France	48.852615, 2.36235		 			 	1	 	 	 	1
Saint-Jacques, rue	, Paris, France	Saint-Jacques, rue, Paris, France	48.852615, 2.36235		 			 	6	 	 	 	6
Saint-Jacques, rue du Faubourg-	, Paris, France	Saint-Jacques, rue du Faubourg-, Paris, France	48.852615, 2.36235		 			 	1	 	 	 	1
Saint-Jacques-la-Boucherie	, Paris, France	Saint-Jacques-la-Boucherie, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Jacques-du-Haut-Pas	, Paris, France	Saint-Jacques-du-Haut-Pas, Paris, France	48.852615, 2.36235		 			 	1	 	 	 	1
Sainct-J ean-sur-la-plasse-de-Greve, ecclize	, Paris, France	Sainct-J ean-sur-la-plasse-de-Greve, ecclize, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Joseph, cemetery	, Paris, France	Saint-Joseph, cemetery, Paris, France	48.852615, 2.36235		 			 	4, 9	 	 	 	4, 9
Saint-Julien-le-Pauvre	, Paris, France	Saint-Julien-le-Pauvre, Paris, France	48.868561, 2.34444		 			 	6	 	 	 	6
Saint-Landry, port	, Paris, France	Saint-Landry, port, Paris, France	48.852425, 2.347262		 			 	4	 	 	 	4
Saint-Landry, rue du Port	, Paris, France	Saint-Landry, rue du Port, Paris, France	0, 0		 			 	11	 	 	 	11
Saint-Laurent	, Paris, France	Saint-Laurent, Paris, France	48.875525, 2.35725		 			 	4	 	 	 	4
Saint-Laurent, foire	, Paris, France	Saint-Laurent, foire, Paris, France	0, 0		 			 	4	 	 	 	4
Saint-Lazare	, Paris, France	Saint-Lazare, Paris, France	48.875445, 2.325585		 			 	4	 	 	 	4
Saint-Lazare, prison	, Paris, France	Saint-Lazare, prison, Paris, France	48.875549, 2.3572		 			 	4	 	 	 	4
Saint-Lazare, rue	, Paris, France	Saint-Lazare, rue, Paris, France	48.87682, 2.338939		 			 	5, 9	 	 	 	5, 9
Saint-Lazare, quarter of the, rue	, Paris, France	Saint-Lazare, quarter of the, rue, Paris, France	48.87682, 2.338939		 			 	10	 	 	 	10
Saint-Leu	, Paris, France	Saint-Leu, Paris, France	48.88599, 2.354425		 			 	4	 	 	 	4
"Sainct-Leu, ""ecclize"""	, Paris, France	"Sainct-Leu, ""ecclize"", Paris, France"	48.87682, 2.338939		 			 	4	 	 	 	4
Saint-Leufroi, rue	, Paris, France	Saint-Leufroi, rue, Paris, France			 			 	4	 	 	 	4
Saint-Louis, cabinet	, Paris, France	Saint-Louis, cabinet, Paris, France	48.852615, 2.36235		 			 	11	 	 	 	11
Saint-Louis, College	, Paris, France	Saint-Louis, College, Paris, France	48.852615, 2.36235		 			 	6	 	 	 	6
Saint-Louis, Galerie de	, Paris, France	Saint-Louis, Galerie de, Paris, France	48.852821, 2.353831		 			 	11	 	 	 	11
Saint-Louis, hopital	, Paris, France	Saint-Louis, hopital, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Louis, lie	, Paris, France	Saint-Louis, lie, Paris, France	0, 0		 			 	7, 11	 	 	 	7, 11
Saint-Louis, quai	, Paris, France	Saint-Louis, quai, Paris, France	48.852821, 2.353831		 			 	11	 	 	 	11
Saint-Louis, rue	, Paris, France	Saint-Louis, rue, Paris, France	48.852615, 2.36235		 			 	7, 11	 	 	 	7, 11
Saint-Louis-Saint-Honoré, rue	, Paris, France	Saint-Louis-Saint-Honoré, rue, Paris, France	48.852615, 2.36235		 			 	8, 14	 	 	 	8, 14
Saint-Magloire	, Paris, France	Saint-Magloire, Paris, France	48.861385, 2.342854		 			 	1	 	 	 	1
Saint-Marc, rue	, Paris, France	Saint-Marc, rue, Paris, France	0, 0		 			 	9	 	 	 	9
Saint-Marceau, faubourg	, Paris, France	Saint-Marceau, faubourg, Paris, France	48.870274, 2.34225		 			 	1, 3	 	 	 	1, 3
Saint-Martin, boulevard	, Paris, France	Saint-Martin, boulevard, Paris, France	48.852615, 2.36235		 			 	12	 	 	 	12
Saint-Martin, canal	, Paris, France	Saint-Martin, canal, Paris, France	48.85696, 2.349106		 			 	4	 	 	 	4
Saint-Martin, faubourg	, Paris, France	Saint-Martin, faubourg, Paris, France	48.85696, 2.349106		 			 	4	 	 	 	4
Saint-Martin, Marche	, Paris, France	Saint-Martin, Marche, Paris, France	48.85696, 2.349106		 			 	4	 	 	 	4
Saint-Martin, quarter	, Paris, France	Saint-Martin, quarter, Paris, France	48.85696, 2.349106		 			 	4	 	 	 	4
Saint-Martin, rue	, Paris, France	Saint-Martin, rue, Paris, France	48.85696, 2.349106		 			 	4	 	 	 	4
Saint-Martin, rue des Ecluses	, Paris, France	Saint-Martin, rue des Ecluses, Paris, France	48.85696, 2.349106		 			 	4	 	 	 	4
Saint-Martin, rue du Faubourg	, Paris, France	Saint-Martin, rue du Faubourg, Paris, France	0, 0		 			 	4	 	 	 	4
Saint-Maur, rue	, Paris, France	Saint-Maur, rue, Paris, France	48.85696, 2.349106		 			 	2	 	 	 	2
Saint-Maur (du Temple), rue	, Paris, France	Saint-Maur (du Temple), rue, Paris, France	48.870026, 2.373363		 			 	2	 	 	 	2
Saint-Merry	, Paris, France	Saint-Merry, Paris, France	48.859835, 2.351765		 			 	4	 	 	 	4
Saint-Merry, cloister of	, Paris, France	Saint-Merry, cloister of, Paris, France	48.870026, 2.373363		 			 	4	 	 	 	4
Saint-Michel, place	, Paris, France	Saint-Michel, place, Paris, France	0, 0		 			 	6	 	 	 	6
Saint-Michel, fountain of the place	, Paris, France	Saint-Michel, fountain of the place, Paris, France	48.853844, 2.344157		 			 	6	 	 	 	6
Saint-Michel, Pont	, Paris, France	Saint-Michel, Pont, Paris, France	48.853844, 2.344157		 			 	11	 	 	 	11
Saint-Michel, quai	, Paris, France	Saint-Michel, quai, Paris, France	48.853844, 2.344157		 			 	6	 	 	 	6
Saint-Nicaise, rue	, Paris, France	Saint-Nicaise, rue, Paris, France	48.853844, 2.344157		 			 	8	 	 	 	8
"Saint-Paul, ""ecclize de"""	, Paris, France	"Saint-Paul, ""ecclize de"", Paris, France"	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Paul, Hotel	, Paris, France	Saint-Paul, Hotel, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Paul, jardins	, Paris, France	Saint-Paul, jardins, Paris, France	48.85406, 2.36348		 			 	4	 	 	 	4
Saint-Paul, port	, Paris, France	Saint-Paul, port, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Paul, quarter	, Paris, France	Saint-Paul, quarter, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Philippe, rue	, Paris, France	Saint-Philippe, rue, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Pierre-aux-Bciufs	, Paris, France	Saint-Pierre-aux-Bciufs, Paris, France	48.868752, 2.349619		 			 	11	 	 	 	11
Saint-Pierre-aux-Barnfs, rue	, Paris, France	Saint-Pierre-aux-Barnfs, rue, Paris, France	48.852615, 2.36235		 			 	11	 	 	 	11
Saint-Pierre-de-Montmartre, rue	, Paris, France	Saint-Pierre-de-Montmartre, rue, Paris, France	48.852615, 2.36235		 			 	9	 	 	 	9
Saint-Pol, hotel	, Paris, France	Saint-Pol, hotel, Paris, France	48.898144, 2.337115		 			 	4	 	 	 	4
Saint-Quentin, hotel	, Paris, France	Saint-Quentin, hotel, Paris, France	0, 0		 			 	12	 	 	 	12
Saint-Roch	, Paris, France	Saint-Roch, Paris, France	48.865161, 2.332716		 			 	8	 	 	 	8
Saint-Roch, rue	, Paris, France	Saint-Roch, rue, Paris, France	48.877708, 2.355372		 			 	8	 	 	 	8
Saint-Sacrament, chapel of the Benedictines du	, Paris, France	Saint-Sacrament, chapel of the Benedictines du, Paris, France	48.864433, 2.331643		 			 	7	 	 	 	7
Saint-Sauveur, rue	, Paris, France	Saint-Sauveur, rue, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Saint-Sulpice	, Paris, France	Saint-Sulpice, Paris, France	48.851235, 2.33402		 			 	4	 	 	 	4
Saint-Sulpice, place	, Paris, France	Saint-Sulpice, place, Paris, France	48.86618, 2.348074		 			 	6	 	 	 	6
Saint-Sulpice, quarter	, Paris, France	Saint-Sulpice, quarter, Paris, France	48.851498, 2.337644		 			 	6	 	 	 	6
Saint-Sulpice, seminary	, Paris, France	Saint-Sulpice, seminary, Paris, France	48.852615, 2.36235		 			 	6	 	 	 	6
Saint-Thomas-d'Aquin	, Paris, France	Saint-Thomas-d'Aquin, Paris, France	48.852615, 2.36235		 			 	10	 	 	 	10
Saint-Thomas, rue des Filles	, Paris, France	Saint-Thomas, rue des Filles, Paris, France	48.85585, 2.327084		 			 	9	 	 	 	9
Saint-Thomas-du-Louvre, rue	, Paris, France	Saint-Thomas-du-Louvre, rue, Paris, France	0, 0		 			 	8	 	 	 	8
Saint-Victor, church	, Paris, France	Saint-Victor, church, Paris, France	48.852615, 2.36235		 			 	3	 	 	 	3
Saint-Victor, Porte	, Paris, France	Saint-Victor, Porte, Paris, France	48.848766, 2.350072		 			 	3	 	 	 	3
Saint-Victor, rue	, Paris, France	Saint-Victor, rue, Paris, France	48.848766, 2.350072		 			 	3	 	 	 	3
Saint-Victor, village	, Paris, France	Saint-Victor, village, Paris, France	48.848766, 2.350072		 			 	3	 	 	 	3
Saint-Vincent-de-Paul	, Paris, France	Saint-Vincent-de-Paul, Paris, France	48.848766, 2.350072		 			 	5	 	 	 	5
Sainte-Anne, rue	, Paris, France	Sainte-Anne, rue, Paris, France	48.866785, 2.335775		 			 	8	 	 	 	8
Sainte-Barbe, College	, Paris, France	Sainte-Barbe, College, Paris, France	48.879913, 2.352175		 			 	6	 	 	 	6
Sainte-Barbe, rue	, Paris, France	Sainte-Barbe, rue, Paris, France			 			 	9, 12	 	 	 	9, 12
Sainte-Catherine, rue Culture	, Paris, France	Sainte-Catherine, rue Culture, Paris, France	48.844095, 2.3296		 			 	7	 	 	 	7
Sainte-Catherine-d’Enfer, rue	, Paris, France	Sainte-Catherine-d’Enfer, rue, Paris, France	48.852615, 2.36235		 			 	1	 	 	 	1
Sainte-Chapelle	, Paris, France	Sainte-Chapelle, Paris, France	48.852615, 2.36235		 			 	11	 	 	 	11
Sainte-Clothilde, eglise	, Paris, France	Sainte-Clothilde, eglise, Paris, France	48.86911, 2.35319		 			 	10	 	 	 	10
Sainte-Croix-de-la-Bretonnerie, rue	, Paris, France	Sainte-Croix-de-la-Bretonnerie, rue, Paris, France			 			 	4	 	 	 	4
Sainte-Foi, rue	, Paris, France	Sainte-Foi, rue, Paris, France	48.89533, 2.329445		 			 	4	 	 	 	4
Sainte-Genevieve	, Paris, France	Sainte-Genevieve, Paris, France	48.858837, 2.354261		 			 	3	 	 	 	3
Sainte-Geneviève, Bihliotheque	, Paris, France	Sainte-Geneviève, Bihliotheque, Paris, France	48.84663, 2.346665		 			 	6	 	 	 	6
Sainte-Marguerite, rue	, Paris, France	Sainte-Marguerite, rue, Paris, France			 			 	10	 	 	 	10
Sainte-Pelagie	, Paris, France	Sainte-Pelagie, Paris, France	48.867685, 2.25084		 			 	3	 	 	 	3
Sainte-Perine	, Paris, France	Sainte-Perine, Paris, France	48.849595, 2.324765		 			 	2	 	 	 	2
Sainte-Valere	, Paris, France	Sainte-Valere, Paris, France	48.886555, 2.32427		 			 	10	 	 	 	10
Saints-Innocents, church	, Paris, France	Saints-Innocents, church, Paris, France	48.871105, 2.40823		 			 	4	 	 	 	4
Saints-Pères, rue des	, Paris, France	Saints-Pères, rue des, Paris, France			 			 	6, 10	 	 	 	6, 10
Saintonge, rue de	, Paris, France	Saintonge, rue de, Paris, France			 			 	4, 12	 	 	 	4, 12
Salpetrière, Ia	, Paris, France	Salpetrière, Ia, Paris, France			 			 	1, 3	 	 	 	1, 3
Sandrie, passage du	, Paris, France	Sandrie, passage du, Paris, France			 			 	8	 	 	 	8
Saute, barrière de Ia	, Paris, France	Saute, barrière de Ia, Paris, France	48.857941, 2.332996		 			 	3	 	 	 	3
Sante, rue de Ia	, Paris, France	Sante, rue de Ia, Paris, France	47.612207, -2.120567		 			 	1	 	 	 	1
Sapeur, Au (Auberge)	, Paris, France	Sapeur, Au (Auberge), Paris, France	49.96593, 3.970635		 			 	12	 	 	 	12
Mme Saqui	, Paris, France	Mme Saqui, Paris, France			 			 	13	 	 	 	13
Mw Saqui, Theatre de	, Paris, France	Mw Saqui, Theatre de, Paris, France			 			 	12	 	 	 	12
Saussayes, rue des	, Paris, France	Saussayes, rue des, Paris, France	48.053765, -1.302733		 			 	8	 	 	 	8
Savants, Cafe des	, Paris, France	Savants, Cafe des, Paris, France			 			 	 6, 12	 	 	 	 6, 12
Savoie, rue de	, Paris, France	Savoie, rue de, Paris, France			 			 	6	 	 	 	6
Savonnerie	, Paris, France	Savonnerie, Paris, France			 			 	2, 12	 	 	 	2, 12
Secours aux Asphyxies	, Paris, France	Secours aux Asphyxies, Paris, France			 			 	8	 	 	 	8
Secours aux Noyes	, Paris, France	Secours aux Noyes, Paris, France			 			 	11	 	 	 	11
Seine, rue de	, Paris, France	Seine, rue de, Paris, France			 			 	6, 12	 	 	 	6, 12
Sentier, rue du	, Paris, France	Sentier, rue du, Paris, France			 			 	9	 	 	 	9
